node,degree,shell_index,closeness,betweenness,eigenvector
0,2,2,0.35714285714285715,4.5,0.07070696532610987
1,2,2,0.4347826086956522,9.5,0.040404083335702744
2,3,2,0.5555555555555556,27.0,0.1060605878536621
3,2,2,0.4347826086956522,9.5,0.040404083335702744
4,2,2,0.35714285714285715,4.5,0.07070696532610987
5,2,2,0.30303030303030304,2.0,0.040404117398956496
6,5,1,0.5263157894736842,30.0,0.10100993815186032
7,1,1,0.35714285714285715,0.0,0.035353592595751805
8,1,1,0.35714285714285715,0.0,0.035353592595751805
9,1,1,0.35714285714285715,0.0,0.035353592595751805
10,1,1,0.35714285714285715,0.0,0.035353592595751805
11,2,2,1.0,0.0,0.05555555555555555
12,2,2,1.0,0.0,0.05555555555555555
13,2,2,1.0,0.0,0.05555555555555555
14,1,1,1.0,0.0,0.05555555555555555
15,1,1,1.0,0.0,0.05555555555555555
16,1,1,1.0,0.0,0.05555555555555555
17,1,1,1.0,0.0,0.05555555555555555
